batch,epoch,step,train_loss,val_loss
,0,159,,99.84785461425781
0.0,0.0,249,292.3307189941406,
,0,319,,65.95601654052734
,1,479,,35.01164627075195
0.0,1.0,499,44.192020416259766,
,1,639,,27.33857536315918
0.0,2.0,749,16.54737091064453,
,2,799,,28.981544494628906
,2,959,,31.168804168701172
0.0,3.0,999,23.46689224243164,
,3,1119,,26.53314781188965
0.0,3.0,1249,23.46689224243164,
,3,1279,,23.416025161743164
,4,1439,,23.700538635253906
0.0,4.0,1499,24.101093292236328,
,4,1599,,21.02066421508789
0.0,5.0,1749,16.866235733032227,
,5,1759,,12.532870292663574
,5,1919,,11.41458511352539
0.0,6.0,1999,6.697977066040039,
,6,2079,,11.565835952758789
,6,2239,,11.803754806518555
0.0,7.0,2249,14.605830192565918,
,7,2399,,11.061331748962402
0.0,7.0,2499,14.605830192565918,
,7,2559,,35.68925476074219
,8,2719,,14.588802337646484
0.0,8.0,2749,14.428776741027832,
,8,2879,,34.59724426269531
0.0,9.0,2999,15.385435104370117,
,9,3039,,15.30935287475586
,9,3199,,13.974364280700684
0.0,10.0,3249,7.074819564819336,
,10,3359,,13.577488899230957
0.0,10.0,3499,7.074819564819336,
,10,3519,,76.54244232177734
,11,3679,,18.114946365356445
0.0,11.0,3749,19.63231658935547,
,11,3839,,13.383329391479492
0.0,12.0,3999,5.942074298858643,
,12,3999,,12.692794799804688
,12,4159,,12.15632152557373
0.0,13.0,4249,19.43577003479004,
,13,4319,,11.246729850769043
,13,4479,,13.647804260253906
0.0,14.0,4499,11.268155097961426,
,14,4639,,13.478169441223145
0.0,14.0,4749,11.268155097961426,
,14,4799,,13.108051300048828
,15,4959,,11.769490242004395
0.0,15.0,4999,10.022042274475098,
,15,5119,,13.460477828979492
0.0,16.0,5249,13.055350303649902,
,16,5279,,13.880752563476562
,16,5439,,12.448407173156738
0.0,17.0,5499,11.679244041442871,
,17,5599,,11.23431396484375
0.0,17.0,5749,11.679244041442871,
,17,5759,,10.301618576049805
,18,5919,,9.774636268615723
0.0,18.0,5999,11.365447998046875,
,18,6079,,10.756744384765625
,19,6239,,13.855116844177246
0.0,19.0,6249,6.827488422393799,
,19,6399,,8.973616600036621
0.0,20.0,6499,6.992490291595459,
,20,6559,,14.40221881866455
,20,6719,,10.923688888549805
0.0,21.0,6749,12.205171585083008,
,21,6879,,12.737199783325195
0.0,21.0,6999,12.205171585083008,
,21,7039,,9.560410499572754
,22,7199,,8.712997436523438
0.0,22.0,7249,14.111634254455566,
,22,7359,,15.27629566192627
0.0,23.0,7499,12.017071723937988,
,23,7519,,10.658679962158203
,23,7679,,11.347091674804688
0.0,24.0,7749,9.009806632995605,
,24,7839,,11.062257766723633
0.0,24.0,7999,9.009806632995605,
,24,7999,,10.048192977905273
,25,8159,,12.064434051513672
0.0,25.0,8249,13.107357025146484,
,25,8319,,13.172420501708984
,26,8479,,11.267461776733398
0.0,26.0,8499,7.9630537033081055,
,26,8639,,15.202863693237305
0.0,27.0,8749,16.212846755981445,
,27,8799,,10.781612396240234
,27,8959,,26.965396881103516
0.0,28.0,8999,71.85121154785156,
,28,9119,,18.144811630249023
0.0,28.0,9249,71.85121154785156,
,28,9279,,12.37191390991211
,29,9439,,10.523698806762695
0.0,29.0,9499,13.120014190673828,
,29,9599,,15.62408447265625
0.0,30.0,9749,15.418400764465332,
,30,9759,,16.484376907348633
,30,9919,,15.410406112670898
0.0,31.0,9999,10.583827018737793,
